"split","label_id","class_name","subject_id","image_id","gender","glasses","reflection","lighting","sensor_id","label_provenance","image_rel"
"train","0","closed","s0001","00001","0","0","0","0","01","official_filename_metadata","data/dms/eye_state/images/train/closed/s0001_00001_0_0_0_0_0_01.png"
"train","0","closed","s0001","00002","0","0","0","0","01","official_filename_metadata","data/dms/eye_state/images/train/closed/s0001_00002_0_0_0_0_0_01.png"
"train","0","closed","s0001","00003","0","0","0","0","01","official_filename_metadata","data/dms/eye_state/images/train/closed/s0001_00003_0_0_0_0_0_01.png"
"train","0","closed","s0001","00004","0","0","0","0","01","official_filename_metadata","data/dms/eye_state/images/train/closed/s0001_00004_0_0_0_0_0_01.png"
"train","0","closed","s0001","00005","0","0","0","0","01","official_filename_metadata","data/dms/eye_state/images/train/closed/s0001_00005_0_0_0_0_0_01.png"
"train","0","closed","s0001","00006","0","0","0","0","01","official_filename_metadata","data/dms/eye_state/images/train/closed/s0001_00006_0_0_0_0_0_01.png"
"train","0","closed","s0001","00007","0","0","0","0","01","official_filename_metadata","data/dms/eye_state/images/train/closed/s0001_00007_0_0_0_0_0_01.png"
"train","0","closed","s0001","00008","0","0","0","0","01","official_filename_metadata","data/dms/eye_state/images/train/closed/s0001_00008_0_0_0_0_0_01.png"
"train","0","closed","s0001","00009","0","0","0","0","01","official_filename_metadata","data/dms/eye_state/images/train/closed/s0001_00009_0_0_0_0_0_01.png"
"train","0","closed","s0001","00010","0","0","0","0","01","official_filename_metadata","data/dms/eye_state/images/train/closed/s0001_00010_0_0_0_0_0_01.png"
"train","0","closed","s0001","00011","0","0","0","0","01","official_filename_metadata","data/dms/eye_state/images/train/closed/s0001_00011_0_0_0_0_0_01.png"
"train","0","closed","s0001","00012","0","0","0","0","01","official_filename_metadata","data/dms/eye_state/images/train/closed/s0001_00012_0_0_0_0_0_01.png"
"train","0","closed","s0001","00013","0","0","0","0","01","official_filename_metadata","data/dms/eye_state/images/train/closed/s0001_00013_0_0_0_0_0_01.png"
"train","0","closed","s0001","00014","0","0","0","0","01","official_filename_metadata","data/dms/eye_state/images/train/closed/s0001_00014_0_0_0_0_0_01.png"
"train","0","closed","s0001","00015","0","0","0","0","01","official_filename_metadata","data/dms/eye_state/images/train/closed/s0001_00015_0_0_0_0_0_01.png"
"train","0","closed","s0001","00016","0","0","0","0","01","official_filename_metadata","data/dms/eye_state/images/train/closed/s0001_00016_0_0_0_0_0_01.png"
"train","0","closed","s0001","00017","0","0","0","0","01","official_filename_metadata","data/dms/eye_state/images/train/closed/s0001_00017_0_0_0_0_0_01.png"
"train","0","closed","s0001","00018","0","0","0","0","01","official_filename_metadata","data/dms/eye_state/images/train/closed/s0001_00018_0_0_0_0_0_01.png"
"train","0","closed","s0001","00019","0","0","0","0","01","official_filename_metadata","data/dms/eye_state/images/train/closed/s0001_00019_0_0_0_0_0_01.png"
"train","0","closed","s0001","00020","0","0","0","0","01","official_filename_metadata","data/dms/eye_state/images/train/closed/s0001_00020_0_0_0_0_0_01.png"
"train","0","closed","s0001","00021","0","0","0","0","01","official_filename_metadata","data/dms/eye_state/images/train/closed/s0001_00021_0_0_0_0_0_01.png"
"train","0","closed","s0001","00022","0","0","0","0","01","official_filename_metadata","data/dms/eye_state/images/train/closed/s0001_00022_0_0_0_0_0_01.png"
"train","0","closed","s0001","00023","0","0","0","0","01","official_filename_metadata","data/dms/eye_state/images/train/closed/s0001_00023_0_0_0_0_0_01.png"
"train","0","closed","s0001","00024","0","0","0","0","01","official_filename_metadata","data/dms/eye_state/images/train/closed/s0001_00024_0_0_0_0_0_01.png"
"train","0","closed","s0001","00025","0","0","0","0","01","official_filename_metadata","data/dms/eye_state/images/train/closed/s0001_00025_0_0_0_0_0_01.png"
