"split","label_id","class_name","subject_id","label_provenance","image_rel"
"test","0","notdrowsy","001","derived_subset_folder_weak_label","data/dms/drowsiness_binary/images/test/notdrowsy/001_glasses_nonsleepyCombination_0_notdrowsy.jpg"
"test","0","notdrowsy","001","derived_subset_folder_weak_label","data/dms/drowsiness_binary/images/test/notdrowsy/001_glasses_nonsleepyCombination_1007_notdrowsy.jpg"
"test","0","notdrowsy","001","derived_subset_folder_weak_label","data/dms/drowsiness_binary/images/test/notdrowsy/001_glasses_nonsleepyCombination_1013_notdrowsy.jpg"
"test","0","notdrowsy","001","derived_subset_folder_weak_label","data/dms/drowsiness_binary/images/test/notdrowsy/001_glasses_nonsleepyCombination_1016_notdrowsy.jpg"
"test","0","notdrowsy","001","derived_subset_folder_weak_label","data/dms/drowsiness_binary/images/test/notdrowsy/001_glasses_nonsleepyCombination_1017_notdrowsy.jpg"
"test","0","notdrowsy","001","derived_subset_folder_weak_label","data/dms/drowsiness_binary/images/test/notdrowsy/001_glasses_nonsleepyCombination_1021_notdrowsy.jpg"
"test","0","notdrowsy","001","derived_subset_folder_weak_label","data/dms/drowsiness_binary/images/test/notdrowsy/001_glasses_nonsleepyCombination_1031_notdrowsy.jpg"
"test","0","notdrowsy","001","derived_subset_folder_weak_label","data/dms/drowsiness_binary/images/test/notdrowsy/001_glasses_nonsleepyCombination_1036_notdrowsy.jpg"
"test","0","notdrowsy","001","derived_subset_folder_weak_label","data/dms/drowsiness_binary/images/test/notdrowsy/001_glasses_nonsleepyCombination_1037_notdrowsy.jpg"
"test","0","notdrowsy","001","derived_subset_folder_weak_label","data/dms/drowsiness_binary/images/test/notdrowsy/001_glasses_nonsleepyCombination_1038_notdrowsy.jpg"
"test","0","notdrowsy","001","derived_subset_folder_weak_label","data/dms/drowsiness_binary/images/test/notdrowsy/001_glasses_nonsleepyCombination_1039_notdrowsy.jpg"
"test","0","notdrowsy","001","derived_subset_folder_weak_label","data/dms/drowsiness_binary/images/test/notdrowsy/001_glasses_nonsleepyCombination_103_notdrowsy.jpg"
"test","0","notdrowsy","001","derived_subset_folder_weak_label","data/dms/drowsiness_binary/images/test/notdrowsy/001_glasses_nonsleepyCombination_1040_notdrowsy.jpg"
"test","0","notdrowsy","001","derived_subset_folder_weak_label","data/dms/drowsiness_binary/images/test/notdrowsy/001_glasses_nonsleepyCombination_1042_notdrowsy.jpg"
"test","0","notdrowsy","001","derived_subset_folder_weak_label","data/dms/drowsiness_binary/images/test/notdrowsy/001_glasses_nonsleepyCombination_1045_notdrowsy.jpg"
"test","0","notdrowsy","001","derived_subset_folder_weak_label","data/dms/drowsiness_binary/images/test/notdrowsy/001_glasses_nonsleepyCombination_104_notdrowsy.jpg"
"test","0","notdrowsy","001","derived_subset_folder_weak_label","data/dms/drowsiness_binary/images/test/notdrowsy/001_glasses_nonsleepyCombination_1050_notdrowsy.jpg"
"test","0","notdrowsy","001","derived_subset_folder_weak_label","data/dms/drowsiness_binary/images/test/notdrowsy/001_glasses_nonsleepyCombination_1051_notdrowsy.jpg"
"test","0","notdrowsy","001","derived_subset_folder_weak_label","data/dms/drowsiness_binary/images/test/notdrowsy/001_glasses_nonsleepyCombination_105_notdrowsy.jpg"
"test","0","notdrowsy","001","derived_subset_folder_weak_label","data/dms/drowsiness_binary/images/test/notdrowsy/001_glasses_nonsleepyCombination_1062_notdrowsy.jpg"
